trimmed_line,is_title,title,index,abstract,article_type,authors,document_type,issue,place_ofpublication,date,pubtitle,year,volume
"138. Rev. Nancy Wilson, MCC conference headed to Chicago",TRUE,"Rev. Nancy Wilson, MCC conference headed to Chicago",137,"When [Courtney Feuer] told schooL administrators that she was on going on maternity Leave, she met with the assistant principaL who was known for being very religious, very conservative. ""When I Left her office that day, she said, 'Congratulations and pLease teLl your husband congratuLations, too,'"" Feuer recalled.",Newspapers,"Forman, Ross",News,38,"Chicago, Ill.","Jun 26, 2013",Windy City Times,2013,28
"139. Beth Richie on race, gender and the 'prison nation'",TRUE,"Beth Richie on race, gender and the 'prison nation'",138,"NW: I feel very optimistic. I don't think we'll get everything we want, but I believe DOMA will be overturned. It doesn't mean gay marriage will be universal in our country-thafs another fight, I'm afraid-but you can see the momen- tum of change in the world and the United States. For DOMA to coLLapse would be huge, but then the deeper fight is on the way. Ifs still a cause for enormous hope.",Newspapers,"Duff, Deanna",Interview,37,"Chicago, Ill.","Jun 19, 2013",Windy City Times,2013,28
140. Bar association offers training regarding LGBT domestic abuse,TRUE,Bar association offers training regarding LGBT domestic abuse,139,"If you're a woman, things are much worse, because our communities don't attend to the ways that we're under the controL of the prison nation. That doesn't rise up to a community priority.",Newspapers,"Nair, Yasmin",Interview,33,"Chicago, Ill.","May 22, 2013",Windy City Times,2013,28
"141. Center on Halsted's gala puts Chaka Khan, honorees on center stage",TRUE,"Center on Halsted's gala puts Chaka Khan, honorees on center stage",140,"""Feel free to walk out now if you don't want to get in touch with your feelings,"" said Director of Education &amp; Victim Advocacy at the Center on Halsted lisa Gilmore, getting a few chuckles in response. ""C'mon, ifs lunch time.""",Newspapers,"Clark, Matthew C",News,33,"Chicago, Ill.","May 22, 2013",Windy City Times,2013,28
142. State's Attorney's LGBTQ/hate crime specialist talks crime and justice,TRUE,State's Attorney's LGBTQ/hate crime specialist talks crime and justice,141,"There was this feeLing to the evening about famiLy and that we've come aLong way and we're recognizing the whoLe famiLy as we're heading toward fuLL equality,"" said [Modesto ""Tico"" Valle]. ""It is an opportunity to bring community together and to reaLLy ceLebrate aLL the accomplishments and recognize some very important people in our community. That to me was reaLLy the feeLing Last night. The only sadness is that we weren't ceLebrating fuLL [marriage] equality.",Newspapers,"Wasserman, Melissa",News,33,"Chicago, Ill.","May 22, 2013",Windy City Times,2013,28
143. With Malice Aforethought: LGBTQs and the criminal justice system,TRUE,With Malice Aforethought: LGBTQs and the criminal justice system,142,"AO: Yes, that's absolutely challenging to me. I don't know of a perfert system at this point, so ifs hard to say what would be preferabLe. There are Lots of things that give me pause in terms of how are we treating peopLe, whether there is enough restorative justice going on, I absoLutely think those conversations shouLd be happening and are happening. It's not necessarily helpfuL to just Lock that person up and throw away the key.",Newspapers,"Chaitman, Steven",Interview,32,"Chicago, Ill.","May 15, 2013",Windy City Times,2013,28
144. Congregation Or Chadash welcomes new rabbi,TRUE,Congregation Or Chadash welcomes new rabbi,143,"Ignoring violence. Neighborhoods perceived as ""gay"" have often been targeted by gay-bashers and seriaL kiLLers. In the past, because poLice ignored the crimes or often treated them with LittLe seriousness, LGBTs organized their own street patrols and response, including a whistLe-blowing campaign in 1970s Chicago, and a 1980s Pink Angels group.",Newspapers,"Baim, Tracy",Feature,31,"Chicago, Ill.","May 8, 2013",Windy City Times,2013,28
"145. Obama signs VAWA, singles out gay center",TRUE,"Obama signs VAWA, singles out gay center",144,"""I'm very excited,"" [Cindy Enger] said. ""Ifs a great opportunity with Lots of potential to grow with the community and to deepen what it means to be in synagogue community together.""",Newspapers,"Sosin, Kate",News,30,"Chicago, Ill.","May 1, 2013",Windy City Times,2013,28
146. State of the Union address garners mixed reviews,TRUE,State of the Union address garners mixed reviews,145,"It also includes funding for ""underserved"" populations ""who face barriers in accessing and using victim services because of various reasons, including because of sexual orientation and gender identity."" And it provides that certain grants under the Omnibus Crime Control and Safe Streets Act can be used for ""developing, enlarging, or strengthening programs and projects to provide services and responses targeting male and female victims of domestic violence ... whose ability to access...",Newspapers,"Keen, Lisa",News,23,"Chicago, Ill.","Mar 13, 2013",Windy City Times,2013,28
147. calendar Q,TRUE,calendar Q,146,"We have often said that President [MicheLLe Obama] is the most pro-LGBT president in history. His first term was fiLLed with monumental gains for LGBT people and our famiLies, incLuding the passage of a federaL hate-crimes Law, repeal of 'Don't Ask, Don't TeLL' and his decLaration of support for the freedom to marry for same-sex coupLes,"" said [Rea Carey]. ""But the state of the union, for many LGBT peopLe, remains one of economic inequality and insecurity.",Newspapers,"Keen, Lisa",News,20,"Chicago, Ill.","Feb 20, 2013",Windy City Times,2013,28
148. 'Vagina Monologues' in Aurora Feb. 15,TRUE,'Vagina Monologues' in Aurora Feb. 15,147,"Heather McDonald Writer, performer and story producer for ""Chelsea Lately"" and ""After Lately"" and has abo appeared on ""Frasier"", ""Malcolm in the Middle"", ""Reno 911."" Through Feb. 16. 9:30pm, Zanies Comedy Club, 1548 ? Wells St., also St. Charles and Rosemont; www.zanies.com",Newspapers,Anonymous,General Information,19,"Chicago, Ill.","Feb 13, 2013",Windy City Times,2013,28
149. 'Vagina Monologues' in Aurora Feb. 15,TRUE,'Vagina Monologues' in Aurora Feb. 15,148,"For more information or to order tickets, contact Razena Unwin at 630-222-1174 or razena@razena.net, or visit www.razena.net/ VDayAurora.htmL.",Newspapers,Anonymous,News,19,"Chicago, Ill.","Feb 13, 2013",Windy City Times,2013,28
150. Seeing a future beyond formal LGBT equality: Talking with Urvashi Vaid,TRUE,Seeing a future beyond formal LGBT equality: Talking with Urvashi Vaid,149,"For more information or to order tickets, contact Razena Unwin at 630-222-1174 or razena@razena.net, or visit www.razena.net/ VDayAurora.html.",Newspapers,Anonymous,News,18,"Chicago, Ill.","Feb 6, 2013",Windy City Times,2013,28
151. Teen Living Programs serves homeless youth on South Side,TRUE,Teen Living Programs serves homeless youth on South Side,150,"""But no,"" she said, ""I don't think we have done a very good job"" or ""have made any progress"" in adding, for instance ""issues of poverty,"" HIV/AIDS health disparities, and other concerns to a gay-rights agenda, including ""criminal justice issues, women's issues - vioLence against women, women earning Less than men - or expanding the definition of family in welfare programs to enable Low-income Lesbians with kids to be covered.""",Newspapers,"Colbert, Chuck",News,15,"Chicago, Ill.","Jan 16, 2013",Windy City Times,2013,28
"152. Actress Sheryl Lee Ralph talks HIV/AIDS activism, 'Divas'",TRUE,"Actress Sheryl Lee Ralph talks HIV/AIDS activism, 'Divas'",151,"The reality is, most of what we do as service providers is react,"" [Lynch Linas] said. ""ALL the services [we offer] are a reaction to those aLready experiencing homeLessness. How do we address the fact that these young peopLe are homeLess because of poverty, because of in adequate housing, because of domestic violence, because of substance abuse? ...",Newspapers,"Royce, Jamie Anne",News,12,"Chicago, Ill.","Dec 26, 2012",Windy City Times,2012,28
153. Intimate partner violence report cites lack of access,TRUE,Intimate partner violence report cites lack of access,152,"SLR: I'm so shocked that I'm about to raise the curtain on the 22nd annuaL ""Divas Simply Singing."" If anybody had ever toLd me that it wouLd be 22 years, I wouLd've said, ""You're crazy. There'LL be a cure. There'LL be something. There'd be no need for 'Divas SimpLy Singing.'""",Newspapers,"Davis, Andrew",Interview,8,"Chicago, Ill.","Nov 28, 2012",Windy City Times,2012,28
154. Playing with porn,TRUE,Playing with porn,153,"[Lisa Gilmore] noted that LGBTQH men were about twice as Likely to experience injuries when compared to the overaLL group, and that the majority of intimate partner vioLence homicide victims reported were LGBTQH men. She also noted that people of co Lor under 30 years old were four times more Likely to report experience physical vioLence and were about twice as Likely to be injured as a result of intimate partner vioLence.",Newspapers,"Clark, Matthew C",News,52,"Chicago, Ill.","Oct 17, 2012",Windy City Times,2012,28
155. Chicago team are softball champs; squads fall in flag football,TRUE,Chicago team are softball champs; squads fall in flag football,154,"It's interesting to note that both Dirty and Hot 'n' Throbbing LargeLy omit exploring LGBT pornography, save for the hinted-at girL-on-girl action intended on [Ly] to provide titillation for straight male audiences in [Andrew Hinderaker]'s play. But ifs also ironic that the only out-and-out nudity in one of the productions is that of a maLe.",Newspapers,"Morgan, Scott C",Theater Review-Comparative,50,"Chicago, Ill.","Oct 3, 2012",Windy City Times,2012,27
156. LGBT fall preview,TRUE,LGBT fall preview,155,"The tournament is a benefit for the Madison AIDS Network and, with its championship, the DoubLe Headers also received $100 for a charity of its choosing - and the team opted for A New Direction (AND), which supports domestic violence victims in Beverly and Morgan Park. [Brad Trowbridge], an attorney who also pLays and mostLy coaches softbaLL in the Chicago MetropoLitan Sports Association (CMSA), is on the AND board of directors.",Newspapers,"Forman, Ross",News,49,"Chicago, Ill.","Sep 26, 2012",Windy City Times,2012,27
157. Skin Tight,TRUE,Skin Tight,156,"When it comes to compiling a List of Chicago-area LGBT shows for the fall season, where do you begin or end? Do you only include shows with LGBT characters like in Terrence McNally's Corpus Christi? Or does the List extend to works by queer authors or theater artists that might not feature any overt LGBT characters, like in Tennessee WilLiams' Sweet Bird of Youth? And what about shows that aren't specifically queer, but have big gay followings Like the musical DreamgirLs?",Newspapers,"Morgan, Scott C",Feature,48,"Chicago, Ill.","Sep 19, 2012",Windy City Times,2012,27
158. LGBTs question Catholic Charities deal with city for homeless outreach,TRUE,LGBTs question Catholic Charities deal with city for homeless outreach,157,It takes 60 minutes for this love song to reach its conclusion - an hour of raw emotional disclosure riveting our attention in an auditorium so intimate that opening-night playgoers were visibly holding their breaths during the delicate adagio involving the sharpened blade of a paring-knife.,Newspapers,"Barnidge, Mary Shen",Theater Review,46,"Chicago, Ill.","Sep 5, 2012",Windy City Times,2012,27
159. GOP reps call for bipartisan support of anti-violence act,TRUE,GOP reps call for bipartisan support of anti-violence act,158,"""It just raises a Lot of red flags in my mind,"" said Joe Murray, executive director of Rainbow Sash Movement, an LGBT Catholic organization. ""CathoLic Charities, one, does not recognize us [LGBT peopLe] and two, beLieves we are moraLLy disordered.""",Newspapers,"Sosin, Kate",News,45,"Chicago, Ill.","Aug 29, 2012",Windy City Times,2012,27
160. Letters to the editor,TRUE,Letters to the editor,159,"""We want to serve everyone who enters the door, thafs why we are calling for bipartisan support of [an inclusive] VAWA,"" said [Judy Biggert]. ""The Law must clarify policies for victims who are LGBT ... There is simply no excuse to allow VAWA to fall to election year gridlock.""",Newspapers,"Royce, Jamie Anne",News,42,"Chicago, Ill.","Aug 8, 2012",Windy City Times,2012,27
"161. LGBT leaders, activists talk needs-assessment study",TRUE,"LGBT leaders, activists talk needs-assessment study",160,"Domestic violence is a widespread probLem. Statistics show that domestic vioLence occurs regardless of gender identity and sexuaL orientation, with studies suggesting that LGBTQ peopLe may even be at a higher risk for abuse compared to the one in four heterosexual· women who are abused by partners during their Lives.",Newspapers,Anonymous,Letter,38,"Chicago, Ill.","Jul 11, 2012",Windy City Times,2012,27
162. Esera Tuaolo: Coming back from darkness,TRUE,Esera Tuaolo: Coming back from darkness,161,"Among other things, the assessment showed that Chicago's LGBT population is spread across the city, that a Larger number of LGBT Chicagoans are single and that both youth and seniors feeL age discrimination within the LGBT community.",Newspapers,"Sosin, Kate",News,37,"Chicago, Ill.","Jul 4, 2012",Windy City Times,2012,27
163. 13th Annual THIRTY under 30,TRUE,13th Annual THIRTY under 30,162,"On the NFL: ""When I played, times were different [as his nine-year career began with the 1991 NFL draft]. Back then, I never thought of coming out, [or] even doing anything that would jeopardize my position. I never, ever felt safe to come out. Just imagine what the bounty would have been on 'the gay guy.' I beLieve the NFL stilL thinks, or wants to beLieve, that there are no gay NFL players in the League or retired.",Newspapers,"Forman, Ross",Feature,37,"Chicago, Ill.","Jul 4, 2012",Windy City Times,2012,27
164. Organizers start new chapter with Black LGBT Pride event,TRUE,Organizers start new chapter with Black LGBT Pride event,163,"In addition to writing winning applications for funding and awards from the American Bar Association (ABA) for John MarshaLL's Diversity Affairs Committee, as a student he founded and has Led the Sexual Orientation and Gender Identity Issues Network of the ABA's Section of InternationaL Law. Issues presented include the systematic abuse of LGBT peopLe under reLigious Legal schemes as weLL as LGBT asyLum under the system of the UN High Commissioner for Refugees.",Newspapers,Anonymous,Feature,35,"Chicago, Ill.","Jun 20, 2012",Windy City Times,2012,27
165. Marriage equality includes the military,TRUE,Marriage equality includes the military,164,"""The 3 o'cLock-to-6 o'clock window is critical,"" [Ariq Cabbler] told Windy City Times, referring to the most popular HIV-testing hours. ""If we have to close at 5, that means we have to shut down by 4:30,"" he added. ""The peopLe attending this event wiLL bear the brunt of it.""",Newspapers,"Wilson, Jason Carson",News,32,"Chicago, Ill.","May 30, 2012",Windy City Times,2012,27
166. calendar,TRUE,calendar,165,"Without the president's extraordinary Leadership, there wouLd have been no repeaL of ""[Don]'t Ask, Don't TeLL"" (DADT). Working for repeal allowed the president to get to know more of our gay and Lesbian service members and their families, to hear their stories and the chaLLenges they faced and stiLL face. They heLped persuade the president that it was time to bring about the end of DADT.",Newspapers,"Sarvis, Aubrey",Commentary,30,"Chicago, Ill.","May 16, 2012",Windy City Times,2012,27
167. Panel discusses violence in gay male communities,TRUE,Panel discusses violence in gay male communities,166,"Screening: A Mind in Quicksand: Life with Huntington's Poignant, timely documentary traces a woman's experience living with Huntington's disease (HD) and its impact on her friends and family. It will have a limited run of three showings only through May 7. The film's creators - director Kirn Lile, producer Sh aro n Zurek, and executive producer Jesse Ewing - will appear for Q&amp;A. Tickets are $11. 7:45pm, 800-982-2787, Gene Siskel Film Center, 164 N State St., www.ticketmaster.com",Newspapers,Anonymous,General Information,28,"Chicago, Ill.","May 2, 2012",Windy City Times,2012,27
168. Senate vote keeps LGBT protections in domestic-abuse bill,TRUE,Senate vote keeps LGBT protections in domestic-abuse bill,167,"One of the things that I think that happens a Lot i n sexuaL violence movements is that men are directly reLated to their penises,"" [RandaLL Jenson] said. ""Therefore, we rape. We penetrate. One of the things that I've aLways struggLed with on a personal LeveLis that being someone who is a bottom; my relationship with my penis is secondary. But in many discussions about sexuaL violence, I 'should' be thinking with my penis.",Newspapers,"Chappell, Terrence",News,28,"Chicago, Ill.","May 2, 2012",Windy City Times,2012,27
"169. LGBT, HIV/AIDS groups among Cubs grantees",TRUE,"LGBT, HIV/AIDS groups among Cubs grantees",168,"The [Kay Bailey Hutchison] -Grass Ley substitute form of VAWA removed the terms ""sexuaL orientation"" and ""gender identity"" from throughout the originaL VAWA reauthorization biLL. Hutchison argued that the substitute stiLL protected samesex coupLes by "" neutra Lizi n g"" Language referring to victims. She referred to ""men who have been gang raped"" as an example of such violence.",Newspapers,"Keen, Lisa",News,28,"Chicago, Ill.","May 2, 2012",Windy City Times,2012,27
170. calendar Q,TRUE,calendar Q,169,"'Today's Cubs Care grant Luncheon is about empowering non-profit organizations in Chicago and providing the necessary resources to help communities in need,"" said Cubs owner and board member Laura Ricketts, who serves as chair of the board of Chicago Cubs Charities.",Newspapers,Anonymous,News,28,"Chicago, Ill.","May 2, 2012",Windy City Times,2012,27
"171. Queer Bronzeville: A History of African American LGBTs on Chicago's South Side, 1900-1985",TRUE,"Queer Bronzeville: A History of African American LGBTs on Chicago's South Side, 1900-1985",170,"Woman Made Gallery's 20th Anniversary WMG's rich exhibition history includes domestic violence, breast cancer, war related issues, and religious subjects. One of the works, Mary Ellen Croteau's ""Women on a Pedestal,"" is now in WMG's permanent collection. Will honor Co-Founder/Executive Director, Beate Minkovski. $65 prepaid or $75 at the door; 6pm-9:30pm, 312-738-0400, Salvage One, 1840 West Hubbard St., www.womanmade.org",Newspapers,Anonymous,General Information,26,"Chicago, Ill.","Apr 18, 2012",Windy City Times,2012,27
"172. Taking ""Action""",TRUE,"Taking ""Action""",171,"Jet was more explicit regarding its queer subjects. In articles about drag baLLs, reporters used direct terms to describe the participants' sexuality. The words ""gay"" and ""queen"" were preferred terminology. Competitors were part of a ""gay affair"" which presented ""gay entertainment."" Men pranced ""gaily down the runway,"" or the MC would elect the ""queen of queens,"" making ""queen Ly bows.""",Newspapers,"Cabello, Tristan",Feature,25,"Chicago, Ill.","Mar 28, 2012",Windy City Times,2012,27
173. Judge Mary Trew,TRUE,Judge Mary Trew,172,Awards were presented to those who have made a concerted effort in overcoming domestic violence over the past year. The Civic Advocacy Award was presented to Cook County State's Attorney Anita Alvarez &amp; WBEZ 91.5FM/Vocalo. org 89. 5FM for their efforts in raising awareness and providing education about violence against women.,Newspapers,Anonymous,News,25,"Chicago, Ill.","Mar 28, 2012",Windy City Times,2012,27
174. calendar q,TRUE,calendar q,173,"What's a LittLe bit difficuLt is that bans on discrimination don't come from the top-down. In other words, it's going from state-to-state. So that does make it chaLLenging. It's not just the marriage Laws; its aLL the civil area Laws.... the right to traveL, the right to reLocate. One state's Laws might be very discriminatory, and another's not so much. Other minority groups have had that [protection] at a federal Level.",Newspapers,"Demarest, Erica",Interview,23,"Chicago, Ill.","Mar 14, 2012",Windy City Times,2012,27
175. Few services for gay survivors of domestic abuse,TRUE,Few services for gay survivors of domestic abuse,174,"The Orion Ensemble, Celebrating Women Composers In honor of Women's History Month in March, The Orion Ensemble will be ""Celebrating Women Composers"" of three centuries, four countries and four distinct styles: Chicago-based composer Stacy Garrop's Silver Dagger for Violin, Cello and Piano (2009); Louise Farreni^s Trio in ?-flat Major for Clarinet, CeIb and Piano, Op. 44; British composer Phyllis Täte's (1911-85) Air and Variations for Clarinet, Violin and Piano (1957); and Piano...",Newspapers,Anonymous,General Information,23,"Chicago, Ill.","Mar 14, 2012",Windy City Times,2012,27
176. Guide to the gays,TRUE,Guide to the gays,175,"""My HIV diagnosis was devastating - absoluteLy devastating,"" said [Ron Okerson]. ""But I was told a Lot of doors would be opening for me [to access HIV sodai services], and it was even more devastating when they didn't.""",Newspapers,"Royce, Jamie Anne",News,23,"Chicago, Ill.","Mar 14, 2012",Windy City Times,2012,27
177. Guide to the gays,TRUE,Guide to the gays,176,"The skinny: This increasingLy contentious race between [Paula Basta] and incumbent state Rep. KeLLy Cassidy took on intrigue because it's possibLy the first poLiticaL contest in the state pitting two out Lesbians against each other. (On Jan. 19, for example, Basta's campaign issued a press reLease accusing Cassidy of impLying through a phone-survey question that Basta's campaign was in violation of federal Law.)",Newspapers,Anonymous,Feature,23,"Chicago, Ill.","Mar 14, 2012",Windy City Times,2012,27
178. Lesbian judge holds campaign fundraiser,TRUE,Lesbian judge holds campaign fundraiser,177,"The skinny: This increasingly contentious race between [Paula Basta] and incumbent state Rep. KeLLy Cassidy took on intrigue because ifs possibLy the first poLitical contest in the state pitting two out Lesbians against each other. (On Jan. 19, for example, Basta's campaign issued a press reLease accusing Cassidy of implying through a phone-survey question that Basta's campaign was in violation of federal Law.)",Newspapers,Anonymous,Feature,22,"Chicago, Ill.","Mar 7, 2012",Windy City Times,2012,27
"179. ELECTIONS 2012: Brad Trowbridge on counseling, inclusive slogan",TRUE,"ELECTIONS 2012: Brad Trowbridge on counseling, inclusive slogan",178,"""The court is high-volume. There's Lots of probLems, Lots families in crisis, lots of domestic violence,"" said [Trew].",Newspapers,"Royce, Jamie Anne",News,22,"Chicago, Ill.","Mar 7, 2012",Windy City Times,2012,27
180. Guide to the gays,TRUE,Guide to the gays,179,"[Brad Trowbridge]: I started counseLing in 1986, after I got my master's degree. Then I went to Northwestern University to be their ""gay counselor,"" so to speak. There'd been at Least one suicide on campus by a gay student, and there was a second student that they suspected of being gay. The administration thought we needed to address this head-on, so they sent a message to the LGBT student population that they valued LGBT students and had a resource avaiLabLe to them.",Newspapers,"Demarest, Erica",Interview,22,"Chicago, Ill.","Mar 7, 2012",Windy City Times,2012,27
181. Anti-domestic violence group's gala March 10,TRUE,Anti-domestic violence group's gala March 10,180,"The skinny: This increasingly contentious race between [Paula Basta] and incumbent state Rep. KeLLy Cassidy took on intrigue because it's possibLy the first poLitical contest in the state pitting two out Lesbians against each other. (On Jan. 19, for example, Basta's campaign issued a press reLease accusing Cassidy of impLying through a phone-survey question that Basta's campaign was in violation of federal law.)",Newspapers,Anonymous,General Information,21,"Chicago, Ill.","Feb 29, 2012",Windy City Times,2012,27
182. Dr. Carl Bell seeks to revolutionize HIV prevention and treatment,TRUE,Dr. Carl Bell seeks to revolutionize HIV prevention and treatment,181,"Connections for Abused Women and their Children (CAWC), a Chicago organization committed to ending domestic violence, wiLL host its 26th AnnuaL Spring GalaSounds of Silence Saturday, March 10, 6-11 p.m., in the CrystaL BaLLroom of the Hyatt Regency Chicago,...",Newspapers,Anonymous,General Information,21,"Chicago, Ill.","Feb 29, 2012",Windy City Times,2012,27
183. Guide to the Gays,TRUE,Guide to the Gays,182,"[CarL BeLL] found that young peopLe who engage in risk-taking behavior more often than not come from sociaL groups that are products of ""muLtiple deficiencies."" BeLL opined that, ""Whether you're BLack, gay, poor, a femaLe or an immigrant, you can either conform to that deficit or you can observe, ? am being denigrated and onLy I wiLL define who I am.",Newspapers,"Franco, Joe",News,21,"Chicago, Ill.","Feb 29, 2012",Windy City Times,2012,27
184. Chaka Khan: She's every woman,TRUE,Chaka Khan: She's every woman,183,"The skinny: This increasingLy contentious race between [Paula Basta] and incumbent state Rep. KeLLy Cassidy took on intrigue because it's possibLy the first poLiticaL contest in the state pitting two out Lesbians against each other. (On Jan. 19, for exampLe, Basta's campaign issued a press reLease accusing Cassidy of impLying through a phone-survey question that Basta's campaign was in violation of federaL Law.)",Newspapers,Anonymous,Feature,20,"Chicago, Ill.","Feb 22, 2012",Windy City Times,2012,27
185. POW-WOW provides space for women poets,TRUE,POW-WOW provides space for women poets,184,"Funk singer Chaka Khan was born and raised on Chicago's South Side before joining the band Rufus. The group broke through with hit ""TeLL Me Something Good"" and became a platinum-seLling act.",Newspapers,"Nunn, Jerry",Interview,20,"Chicago, Ill.","Feb 22, 2012",Windy City Times,2012,27
186. calendar Q,TRUE,calendar Q,185,"""We found that over 70 percent of the women incarcerated were LGBTQ,"" said [Carter]. ""Most of them had their parents throw them out once they found out their [child's] identity, and then committed survival crimes. Whether it's prostitution, robbery, burglary or whatever, they ended up having to commit crimes to sustain their LiveLihood as a homeLess teen.""",Newspapers,"Royce, Jamie Anne",News,19,"Chicago, Ill.","Feb 15, 2012",Windy City Times,2012,27
187. Hull House Association to close,TRUE,Hull House Association to close,186,"Super Bowl Madonna Blow Out Party On Super Bowl Sunday, Halsted's and Edge Alliance will present their 2012 Super Bowl Party! The game will play in HD on all 12 TV screens! Your $10 donation to Edge Alliance will get you an all access pass to a spread of Halsted's favorite foods! 4pm-7pm, Halsted's Bar and Grill, 3441 N Halsted St., http://www.edgealliance.org/",Newspapers,Anonymous,General Information,17,"Chicago, Ill.","Feb 1, 2012",Windy City Times,2012,27
188. LGBT intimate violence report released,TRUE,LGBT intimate violence report released,187,"HuLL House, founded by [Jane Addams] 121 years ago, has Long been a fixture for LGBT Chicagoans, whose namesake was widely beLieved to be a Lesbian. Addams' companion during her time at HuIL House and thereafter was Mary Rozet Smith.",Newspapers,"Sosin, Kate",News,16,"Chicago, Ill.","Jan 25, 2012",Windy City Times,2012,27
189. LGBT anti-violence advocates meet with Obama officials,TRUE,LGBT anti-violence advocates meet with Obama officials,188,"Also, the report revealed that more survivors were turned away from shelters than in 2009. ""Very few shelters in the greater Chicago metropolitan area take male survivors of IPV or domestic violence,"" he said. ""And an equally small number take transgender survivors, so their options are [greatly] reduced.""",Newspapers,"Davis, Andrew",News,10,"Chicago, Ill.","Dec 14, 2011",Windy City Times,2011,27
190. Meredith Baxter: Lesbian actress' family ties,TRUE,Meredith Baxter: Lesbian actress' family ties,189,"[Mara Keisling] added, ""So many kinds of violence are epidemic for transgender people: hate violence, domestic violence, sexual violence, school bullying, and violence by police. And though certain categories of trans people are more likely to face violence, especially people of color, working class people, young people, women and immigrants, all demographic categories of trans people are more likely to be victims than non-trans people.""",Newspapers,Anonymous,News,7,"Chicago, Ill.","Nov 23, 2011",Windy City Times,2011,27
191. 'Jim Flint: The Boy from Peoria' book available Nov. 20,TRUE,'Jim Flint: The Boy from Peoria' book available Nov. 20,190,"MB: I teased MichaeL Gross that he came off being so effeminate that they didn't need to. He has this wonderful femaLe side to his personaLity. He's just so open and I just Love this man. When I first met him having come from a play in New York, someone from Ireland came up to him in the street and asked, ""You are not bent are you?"" He said, "" No, but ifs okay if I were."" You have met him before and he is the greatest guy.",Newspapers,"Nunn, Jerry",Interview,6,"Chicago, Ill.","Nov 16, 2011",Windy City Times,2011,27
192. TPAN gets $100K grant,TRUE,TPAN gets $100K grant,191,"Known to many by his drag name, Felicia, [Jim Flint] has attracted coLorful peopLe from all walks of Life.",Newspapers,Anonymous,Book Review,6,"Chicago, Ill.","Nov 16, 2011",Windy City Times,2011,27
193. Chicago readies for largest U.S. AIDS confab,TRUE,Chicago readies for largest U.S. AIDS confab,192,"""As we participate in the USCA, we're extremely uplifted and energized by the news of the continued support of the ALphawood Foundation, which recognizes the importance of TPAN's work on behalf of those impacted by HIV/AIDS throughout the city."" said TPAN CEO BiLL Farrand....",Newspapers,Anonymous,News,6,"Chicago, Ill.","Nov 16, 2011",Windy City Times,2011,27
194. Researcher unveils 'Runaway Youth Longitudinal Study',TRUE,Researcher unveils 'Runaway Youth Longitudinal Study',193,"It is such a pivotaL time for this conference, in this pLace, at this time, as HIV and AIDS continue to negatively impact gay and bisexual· men and peopLe of color,"" VaLLe said. ""There is new hope on the horizon and each one of us has a roLe to play in moving us forward toward a cure."" Sponsored by the NationaL Minority AIDS Council and the U.S.",Newspapers,"Sosin, Kate",News,5,"Chicago, Ill.","Nov 9, 2011",Windy City Times,2011,27
195. Nation's largest AIDS conference to spotlight Chicago groups,TRUE,Nation's largest AIDS conference to spotlight Chicago groups,194,"""[We need] to move the runaway issue from where it is to where domestic violence is right now, where it's in the spotLight and it's a huge priority,"" Clair said. ""If an infant it taken from their home, there's an Amber Alert. If a 14-yearold runs away, they're a missing person for 24 hours. There's a disconnect.""",Newspapers,"Demarest, Erica",News,5,"Chicago, Ill.","Nov 9, 2011",Windy City Times,2011,27
196. Gay judge heading domestic-violence area,TRUE,Gay judge heading domestic-violence area,195,"""We are a reaLLy weLL-organized wheeL here in Chicago,"" [Cynthia Tucker] said. ""We always merge to work in colLaboration and that's different than some other states.""",Newspapers,"Sosin, Kate",News,2,"Chicago, Ill.","Oct 19, 2011",Windy City Times,2011,27
197. Shadow of a Gunman,TRUE,Shadow of a Gunman,196,[Sebastian T. Patti] was appointed a circuit judge by the Illinois Supreme Court in 1995 (becoming the first out gay individual to be appointed to this position) and was then elected a circuit judge in November 1996.,Newspapers,Anonymous,General Information,50,"Chicago, Ill.","Sep 21, 2011",Windy City Times,2011,26
"198. Employee claims sexual harassment, unfair termination",TRUE,"Employee claims sexual harassment, unfair termination",197,"The nobody mistaken for somebody is a staple of comedy dating to antiquity, and Sean O'[Casey] prepares us for a cheerful romantic romp featuring reliable stereotypes (fussy landlords, henpecked husbands, bragging cowards) representing the meddlesome fellow tenants who invade our bachelors' quarters to editorialize and emote.",Newspapers,"Barnidge, Mary Shen",Theater Review,50,"Chicago, Ill.","Sep 21, 2011",Windy City Times,2011,26
199. 'The Faggot Who Could Fly' at Center Aug. 8,TRUE,'The Faggot Who Could Fly' at Center Aug. 8,198,"[Elizabeth Cartee] alLeged that when she ended the reLationship, [PhyLLis DeMott] retaliated by changing Cartee's job duties, suspending and eventually firing her. Cartee claimed that DeMott conditioned Cartee's return to work on the submission of private medical records pertaining to her treatment for depression. Cartee said DeMott knew about the treatment because of their reLationship.",Newspapers,"Demarest, Erica",News,46,"Chicago, Ill.","Aug 24, 2011",Windy City Times,2011,26
"200. Latina report shows anti-gay bias, abuse",TRUE,"Latina report shows anti-gay bias, abuse",199,"The Faggot Who Could Fly - a ""onetranswoman show"" featuring KOKL)MO - will take place Monday, Aug. 8, at 7 p.m. at the Hoover-Leppen Theatre at Center on Halsted, 3656 N. Halsted.",Newspapers,Anonymous,General Information,43,"Chicago, Ill.","Aug 3, 2011",Windy City Times,2011,26
